id,area_name,homicide_2020,assault_2020,assault_2021,assault_2022,assault_2023,assault_rate_2020,assault_rate_2021,assault_rate_2022,assault_rate_2023,homicide_2021,homicide_2022,homicide_2023,homicide_rate_2020,homicide_rate_2021,homicide_rate_2022,homicide_rate_2023,robbery_2020,robbery_2021,robbery_2022,robbery_2023,robbery_rate_2020,robbery_rate_2021,robbery_rate_2022,robbery_rate_2023,shooting_2020,shooting_2021,shooting_2022,shooting_2023,shooting_rate_2020,shooting_rate_2021,shooting_rate_2022,shooting_rate_2023
144,Eringate-Centennial-West Deane,0,42,38,57,90,215.1859894,195.8964844,293.1194153,460.1697388,0,0,0,0,0,0,0,19,4,12,13,97.34603882,20.62068176,61.70935059,66.46896362,4,1,1,0,20.49390221,5.155170441,5.142445564,0
145,Princess-Rosethorn,0,23,25,27,25,190.0983582,205.5921021,219.3695221,199.1714478,0,0,0,0,0,0,0,9,2,2,12,74.38631439,16.44736862,16.24959373,95.60229492,1,1,1,2,8.265146255,8.223684311,8.124796867,15.93371582
146,Edenbridge-Humber Valley,0,33,35,31,53,197.9129181,208.9926605,182.9772186,306.8728027,0,0,0,0,0,0,0,9,0,6,7,53.97624969,0,35.4149437,40.5303688,1,2,2,1,5.997361183,11.94243717,11.80498123,5.790052891
147,Humber Heights-Westmount,0,23,31,32,53,207.5437622,278.0518494,283.7633972,464.993866,2,1,0,0,17.93882942,8.867606163,0,2,1,9,6,18.04728317,8.969414711,79.80845642,52.64081573,0,5,1,4,0,44.8470726,8.867606163,35.09387589
148,Willowridge-Martingrove-Richview,0,95,57,98,123,400.3708801,240.9842377,411.5744934,510.4369812,2,0,0,0,8.455587387,0,0,16,6,15,17,67.43088531,25.36676025,62.99609375,70.54820251,7,3,4,4,29.50101089,12.68338013,16.79895782,16.59957695
149,Kingsview Village-The Westway,0,100,99,132,151,435.5210876,434.9736328,579.8374634,663.4738159,1,0,0,0,4.393672943,0,0,6,9,10,23,26.13126564,39.54305649,43.92708206,101.0589218,2,7,1,2,8.710421562,30.75571251,4.392708302,8.787732124
150,Elms-Old Rexdale,0,49,69,64,61,494.0014038,701.1482544,649.6143188,617.1590576,0,1,0,0,0,10.15022373,0,7,7,15,14,70.57163239,71.13098145,152.2533569,141.6430664,0,7,6,0,0,71.13098145,60.90134048,0
151,Rexdale-Kipling,0,49,48,58,76,452.6140747,447.0522461,540.9438477,708.822998,0,2,0,0,0,18.65323639,0,14,10,13,24,129.3183136,93.13588715,121.2460327,223.8388367,1,1,1,1,9.2370224,9.313588142,9.326618195,9.326618195
152,Thistletown-Beaumond Heights,0,56,61,52,66,527.5553589,578.8025513,493.6865234,626.7806396,0,0,0,0,0,0,0,9,6,16,13,84.78568268,56.93139648,151.9035339,123.4567871,1,1,5,0,9.420631409,9.488566399,47.46985626,0
153,Mount Olive-Silverstone-Jamestown,3,207,212,262,297,590.1639404,607.2062988,747.0133667,839.3150024,0,1,4,8.553100586,0,2.851196051,11.30390549,31,50,54,54,88.38204193,143.2090302,153.9645844,152.6027222,18,10,6,16,51.31860352,28.64180565,17.10717583,45.21562195
154,West Humber-Clairville,2,250,243,269,322,699.9664307,680.8439331,747.5752563,884.9071045,1,1,2,5.599731445,2.801826715,2.779090166,5.496317387,76,53,69,77,212.7897797,148.4968262,191.7572174,211.6082153,5,5,5,9,13.99932766,14.00913429,13.89545059,24.73342896
155,Black Creek,3,260,207,232,231,1134.776489,908.0540161,1014.074646,1002.299622,0,1,0,13.09357548,0,4.371011257,0,23,12,19,28,100.384079,52.64081573,83.04921722,121.4908676,18,13,10,7,78.56145477,57.02754974,43.71011353,30.3727169
156,Pelmo Park-Humberlea,0,55,57,82,104,470.4876099,485.2715759,689.1335449,858.0150146,2,1,0,0,17.02707291,8.404067993,0,7,4,8,13,59.88024139,34.05414581,67.23254395,107.2518768,4,2,3,3,34.21728134,17.02707291,25.21220207,24.75043297
157,Humbermede,0,95,134,119,159,574.2609863,813.7981567,719.7290649,959.6813354,0,0,0,0,0,0,0,14,18,38,14,84.62793732,109.3161697,229.8294373,84.50024414,6,4,2,2,36.26911545,24.29248238,12.09628677,12.07146263
158,Humber Summit,0,92,101,127,165,695.9678955,766.3126221,959.359436,1229.050293,1,0,2,0,7.587253571,0,14.89757919,26,14,30,25,196.6865845,106.22155,226.6203308,186.2197418,5,4,7,6,37.82434464,30.34901428,52.87807846,44.69273758
