id,area_name,homicide_2020,assault_2020,assault_2021,assault_2022,assault_2023,assault_rate_2020,assault_rate_2021,assault_rate_2022,assault_rate_2023,homicide_2021,homicide_2022,homicide_2023,homicide_rate_2020,homicide_rate_2021,homicide_rate_2022,homicide_rate_2023,robbery_2020,robbery_2021,robbery_2022,robbery_2023,robbery_rate_2020,robbery_rate_2021,robbery_rate_2022,robbery_rate_2023,shooting_2020,shooting_2021,shooting_2022,shooting_2023,shooting_rate_2020,shooting_rate_2021,shooting_rate_2022,shooting_rate_2023
62,Casa Loma,0,65,46,59,56,555.7455444,392.9273071,499.3652039,467.7580872,0,0,0,0,0,0,0,3,1,10,15,25.64979553,8.541897774,84.63816833,125.2923508,0,1,1,0,0,8.541897774,8.463817596,0
63,Annex,0,259,304,365,396,795.6256104,924.6585693,1092.029663,1147.759521,0,0,0,0,0,0,0,40,47,43,67,122.8765411,142.957077,128.6500702,194.1916351,0,1,2,0,0,3.041640043,5.983724117,0
64,Wychwood,1,84,60,85,89,585.0804443,417.3912964,587.6659546,609.213501,0,0,0,6.96524334,0,0,0,19,5,6,25,132.3396301,34.78260803,41.4822998,171.1273804,2,1,1,6,13.93048668,6.956521511,6.913716793,41.0705719
65,Corso Italia-Davenport,1,85,114,99,147,575.9978027,777.5731812,674.8466187,994.3181763,0,0,1,6.776444912,0,0,6.76406908,12,1,11,19,81.31734467,6.820816994,74.98295593,128.5173187,4,0,3,3,27.10577965,0,20.44989777,20.29220772
66,Weston-Pelham Park,0,102,92,101,119,847.1760864,763.2321167,829.5687866,965.1257324,0,0,0,0,0,0,0,4,6,11,6,33.2225914,49.77600861,90.34907532,48.66180038,4,4,4,4,33.2225914,33.18400574,32.8542099,32.44120026
67,Junction Area,0,103,115,113,136,686.3006592,768.203064,750.8804321,891.6863403,0,0,0,0,0,0,0,12,9,23,19,79.95735931,60.12023926,152.8340759,124.5738297,0,0,0,1,0,0,0,6.556517124
68,Oakridge,1,158,189,186,215,1055.514771,1258.657471,1225.054321,1397.101807,0,0,0,6.680472851,0,0,0,26,22,11,20,173.6922913,146.5103912,72.44944763,129.9629669,8,3,1,3,53.44378281,19.97868919,6.586313725,19.49444389
69,Clairlea-Birchmount,1,197,239,256,278,697.8391724,847.8183594,903.3806152,965.8814697,2,1,0,3.542330742,7.094714642,3.528830528,0,31,9,19,22,109.8122559,31.92621422,67.0477829,76.43666077,2,3,4,4,7.084661484,10.64207172,14.11532211,13.89757442
70,Wexford/Maryvale,1,163,212,209,260,552.0371094,719.0584106,705.0806274,870.4385376,1,1,0,3.386730671,3.391785145,3.373591423,0,29,28,39,31,98.2151947,94.96998596,131.5700684,103.7830582,3,4,5,4,10.16019249,13.56714058,16.86795807,13.39136219
71,Tam O'Shanter-Sullivan,1,135,119,118,136,462.2812805,407.6738586,400.7743835,456.8357544,0,1,0,3.424305677,0,3.396393061,0,18,13,32,21,61.63750458,44.53580093,108.6845779,70.54080963,2,5,1,3,6.848611355,17.12915421,3.396393061,10.07725906
72,Steeles,0,39,51,45,49,150.2079773,196.8655853,172.6983185,185.6412201,0,0,0,0,0,0,0,6,7,7,7,23.10891914,27.02076721,26.86418152,26.52017403,2,1,0,1,7.702973366,3.860109568,0,3.788596392
73,Mount Dennis,1,72,98,119,122,508.1516113,693.8052979,838.9735107,855.7800293,1,0,0,7.057661057,7.079646111,0,0,19,11,7,9,134.0955658,77.87610626,49.35138321,63.13131332,1,2,2,2,7.057661057,14.15929222,14.1003952,14.02918053
74,Lambton Baby Point,0,31,34,54,31,371.47991940000003,410.8761292,652.4102783,373.7641602,0,0,0,0,0,0,0,1,0,1,5,11.98322392,0,12.08167171,60.28454208,0,0,1,1,0,0,12.08167171,12.05690861
75,Weston,3,204,204,242,243,1053.338135,1052.088745,1236.523438,1226.715088,0,2,1,15.4902668,0,10.21920204,5.048210621,27,25,32,36,139.4123993,128.9324341,163.5072327,181.7355804,5,4,5,4,25.81711197,20.62919044,25.54800415,20.19284248
76,Beechborough-Greenbrook,0,47,57,70,82,679.6818237,824.1758423,1005.313782,1161.966797,2,0,1,0,28.9184494,0,14.17032719,4,13,2,12,57.84526443,187.9699249,28.72325134,170.0439301,1,5,2,5,14.46131611,72.29612732,28.72325134,70.85163879
77,Rockcliffe-Smythe,2,126,139,174,180,537.473877,596.7714233,745.916748,767.4924316,1,0,0,8.531331062,4.293319702,0,0,14,16,19,20,59.71931839,68.69311523,81.45067596,85.27693939,5,12,7,8,21.32832909,51.51983643,30.00814438,34.11077499
78,Keelesdale-Eglinton West,0,84,75,105,112,705.8823242,632.2178345,880.2816772,935.7506714,3,0,1,0,25.28871346,0,8.354916573,11,7,11,26,92.43697357,59.00699615,92.21998596,217.2278442,2,2,0,1,16.80672264,16.8591423,0,8.354916573
79,Palmerston-Little Italy,0,60,78,85,77,408.0244751,533.078186,579.9276733,523.8451538,1,1,2,0,6.834335804,6.8226785659999996,13.60636806,9,9,13,21,61.2036705,61.50902176,88.69482422,142.8668671,0,0,0,2,0,0,0,13.60636806
80,University,0,74,92,110,127,1003.117798,1243.243286,1476.708252,1679.005859,0,0,0,0,0,0,0,9,12,14,14,122.0008163,162.1621552,187.9446869,185.0872498,0,1,0,0,0,13.51351357,0,0
81,Kensington-Chinatown,1,394,380,381,482,1969.606079,1879.141479,1849.963623,2270.479004,2,1,1,4.999000072,9.890218735,4.855547428,4.710537434,43,25,42,46,214.957016,123.6277313,203.9329987,216.6847229,6,9,5,5,29.99400139,44.50598526,24.27773666,23.55268669
82,North St.James Town,0,232,261,221,276,1152.737793,1297.410156,1088.777222,1346.867065,0,1,0,0,0,4.926593781,0,35,16,23,29,173.9044037,79.53472137,113.3116531,141.5186462,1,3,4,1,4.968697071,14.91276073,19.70637512,4.879953384
83,Moss Park,2,756,637,548,627,3582.768555,2980.5354,2516.531982,2823.434082,1,3,7,9.478223801,4.679019451,13.77663517,31.52159309,136,88,66,56,644.5192261,411.7536926,303.085968,252.1727448,4,3,10,3,18.9564476,14.03705788,45.92211533,13.5092535
84,Regent Park,1,144,179,127,160,1109.399048,1346.97876,926.0609741,1129.464966,1,0,0,7.704160213,7.525020599,0,0,13,16,11,20,100.1540833,120.4003296,80.21000671,141.1831207,7,2,3,2,53.92912292,15.0500412,21.87545586,14.11831188
85,Cabbagetown-South St.James Town,1,140,125,136,131,1183.131958,1059.142578,1146.905029,1094.585571,1,0,0,8.450942039,8.473139763,0,0,19,15,23,14,160.5679016,127.0970993,193.9618835,116.9786072,0,0,0,0,0,0,0,0
86,South Riverdale,0,218,230,302,339,738.7075806,779.3704224,1014.784973,1124.937744,2,1,1,0,6.777133942,3.360214949,3.318400621,35,30,42,44,118.5998459,101.6570129,141.1290283,146.0096283,3,2,6,3,10.16570091,6.777133942,20.16129112,9.955201149
87,Blake-Jones,0,58,51,59,81,708.786499,626.4586792,721.977478,984.3237305,0,1,1,0,0,12.23690605,12.15214443,5,13,11,11,61.10228348,159.6855469,134.6059723,133.6735992,2,1,2,4,24.44091415,12.28350353,24.4738121,48.60857773
88,North Riverdale,0,35,54,76,80,286.8382263,445.7652283,628.6187134,657.4622192,1,0,1,0,8.254911423,0,8.218276978,15,5,9,9,122.9306641,41.27455902,74.44168854,73.96450043,0,1,0,2,0,8.254911423,0,16.43655396
89,Playter Estates-Danforth,0,71,53,95,106,905.0350342,681.4091187,1222.651245,1365.275635,0,0,0,0,0,0,0,7,12,14,18,89.22880554,154.281311,180.1801758,231.8392639,1,1,1,2,12.74697304,12.85677528,12.87001324,25.75991821
90,Danforth,1,60,83,115,132,590.609314,821.9449463,1136.700562,1297.552368,0,0,0,9.843488693,0,0,0,16,12,22,21,157.4958191,118.8354111,217.4557648,206.4287872,1,0,2,2,9.843488693,0,19.76870537,19.6598835
91,Greenwood-Coxwell,0,119,113,117,127,776.965271,741.5184937,765.105957,824.675354,0,1,1,0,0,6.539367199,6.493506432,23,15,33,7,150.169754,98.43165588,215.799118,45.45454407,2,2,1,0,13.05823994,13.12422085,6.539367199,0
92,Woodbine Corridor,1,71,78,110,102,536.3753052,591.7608643,831.3179932,767.956604,1,1,0,7.554581642,7.586678028,7.557436466,0,6,8,8,7,45.32749176,60.69342422,60.45949173,52.70290756,0,0,1,1,0,0,7.557436466,7.528986454
93,The Beaches,0,87,91,121,113,380.8606567,399.5258484,528.8461304,489.2410278,0,0,1,0,0,0,4.329566479,7,17,20,16,30.64396095,74.63669586,87.41259003,69.27306366,0,0,0,0,0,0,0,0
94,East End-Danforth,0,144,183,215,218,636.0424194,809.0900879,944.1834106,947.3729858,2,0,2,0,8.842514992,0,8.691494942,26,28,23,17,114.8409882,123.7952042,101.0056686,73.87770844,2,2,2,1,8.833922386,8.842514992,8.783101082,4.345747471
95,Taylor-Massey,0,112,116,115,144,686.9058838,717.644165,711.5895996,891.2545776,0,1,0,0,0,6.187736034,0,27,10,10,28,165.5933838,61.86587524,61.87735748,173.2994995,3,2,3,1,18.39926338,12.37317467,18.56320763,6.189267635
96,Woodbine-Lumsden,0,31,33,41,32,377.2207336,404.8583069,503.6236267,393.072113,0,0,1,0,0,0,12.28350353,6,2,5,0,73.01046753,24.53686714,61.4175148,0,0,0,0,0,0,0,0,0
97,Danforth East York,1,59,61,70,102,329.0758057,342.5811462,392.861145,570.3740845,0,0,0,5.577556133,0,0,0,9,6,5,4,50.19800186,33.6965065,28.06151009,22.36761093,0,1,0,0,0,5.616084576,0,0
98,Old East York,0,28,35,67,63,291.4541626,367.3769226,703.633667,660.3773804,0,0,0,0,0,0,0,5,7,7,6,52.04538345,73.47538757,73.51396942,62.89308167,1,0,2,2,10.40907669,0,21.00399017,20.96436119
99,Runnymede-Bloor West Village,0,32,25,42,58,297.0664673,233.7103882,391.6083984,538.4329834,0,1,0,0,0,9.324008942,0,7,5,13,18,64.98329163,46.74207687,121.2121201,167.099884,0,0,0,1,0,0,0,9.283327103
100,High Park North,0,89,95,129,187,372.4628601,397.0575867,533.8961792,764.0761719,0,1,1,0,0,4.138730049,4.085968971,17,10,14,24,71.14459229,41.79553604,57.9422226,98.06324768,0,0,0,0,0,0,0,0
101,High Park-Swansea,0,78,87,101,106,305.8463745,340.7755432,392.2025452,405.5863647,0,1,1,0,0,3.883193493,3.826286554,10,12,13,9,39.21107483,47.00352478,50.48151779,34.43658066,2,2,3,3,7.842214584,7.833920956,11.64958096,11.4788599
102,Roncesvalles,0,111,90,98,136,698.9924316,568.5407715,617.2450562,853.2530518,0,0,0,0,0,0,0,22,12,17,21,138.5390472,75.80543518,107.0731277,131.7523041,1,3,0,1,6.29722929,18.9513588,0,6.273919106
103,South Parkdale,0,251,274,274,324,1108.951172,1209.125854,1199.597168,1405.395996,0,1,0,0,0,4.378091812,0,19,20,9,23,83.94451141,88.25735474,39.40282822,99.76576996,4,4,3,0,17.67252731,17.65147209,13.13427639,0
104,Little Portugal,0,84,107,113,129,497.7187805,630.784668,657.9330444,741.421936,0,0,0,0,0,0,0,9,10,14,15,53.32701492,58.95183563,81.51382446,86.21185303,0,1,0,1,0,5.895183563,0,5.747456551
105,Dufferin Grove,1,86,89,86,148,682.3230591,708.0350342,681.4039917,1164.529053,0,0,0,7.933989048,0,0,0,20,4,19,29,158.6797791,31.82179832,150.5427399,228.1847534,3,2,2,1,23.80196762,15.91089916,15.8466053,7.868439674
106,Trinity-Bellwoods,1,103,127,137,139,587.2626953,726.0877075,779.3833008,780.2851563,0,0,0,5.701579571,0,0,0,21,19,31,25,119.7331696,108.6272964,176.3568115,140.3390656,2,2,1,1,11.40315914,11.43445206,5.688929558,5.613562584
107,Don Valley Village,2,99,120,117,166,342.4776001,415.5844116,402.3522034,564.1652832,0,0,2,6.918739319,0,0,6.797172546,23,18,29,30,79.56550598,62.33766174,99.72832489,101.9575882,0,2,2,5,0,6.92640686,6.877815723,16.99293137
108,Pleasant View,0,40,26,32,52,239.9232178,156.8343658,192.6318359,310.7817383,0,0,0,0,0,0,0,10,8,9,14,59.98080444,48.25672531,54.17770386,83.6720047,0,0,0,0,0,0,0,0
109,Flemingdon Park,0,132,148,142,167,567.6442871,640.0276489,612.2009277,711.0921631,1,0,0,0,4.324511528,0,0,5,4,13,13,21.50167656,17.29804611,56.04656219,55.35448074,14,8,1,4,60.20469666,34.59609222,4.311274052,17.03214836
110,Victoria Village,0,114,97,122,146,620.2056274,528.5527344,660.9241943,785.2839966,0,0,0,0,0,0,0,11,9,10,16,59.84440613,49.04097748,54.17411423,86.05851746,7,3,3,4,38.08280182,16.34699249,16.25223541,21.51462936
111,Banbury-Don Mills,0,80,87,108,132,268.4924011,290.2418823,355.5789795,425.1618652,0,0,1,0,0,0,3.220923185,7,3,20,24,23.49308586,10.00833988,65.8479538,77.30215454,1,2,3,4,3.356155157,6.672226906,9.877193451,12.88369274
112,Bridle Path-Sunnybrook-York Mills,0,47,44,36,48,462.5984192,429.4777832,345.7881165,448.3048401,0,0,0,0,0,0,0,8,5,3,3,78.74015808,48.80429459,28.81567574,28.01905251,3,0,1,0,29.52755928,0,9.605225563,0
113,St.Andrew-Windfields,0,48,50,58,58,247.8314819,257.4267578,294.9252625,287.0576477,0,0,1,0,0,0,4.949269772,9,2,8,15,46.46840286,10.2970705,40.67934418,74.23905182,1,0,0,0,5.163155556,0,0,0
114,Bedford Park-Nortown,0,52,44,42,52,209.3229218,176.7849274,167.0445099,203.2599792,0,0,0,0,0,0,0,18,10,12,12,72.45793152,40.1783905,47.72700119,46.906147,1,2,0,0,4.025440693,8.035678864,0,0
115,Lansing-Westgate,0,97,93,66,89,555.2693481,532.5240479,374.7445068,497.9856873,0,3,0,0,0,17.03384018,0,11,12,14,24,62.96868896,68.71278381,79.49125671,134.288269,1,3,2,0,5.72442627,17.17819595,11.35589409,0
116,Willowdale West,0,82,82,120,115,437.1468201,433.6100769,624.1872559,588.3556519,0,0,0,0,0,0,0,25,29,3,38,133.276474,153.3498993,15.60468102,194.4131775,1,0,0,0,5.331058979,0,0,0
117,Newtonbrook West,0,175,202,229,200,681.9953003,786.9721069,884.5114136,761.4696655,0,1,0,0,0,3.862495184,0,23,19,30,30,89.63367462,74.02212524,115.874855,114.2204437,5,0,2,1,19.48558044,0,7.724990368,3.807348251
118,Westminster-Branson,0,93,89,88,119,336.6028442,323.8012085,319.1875305,428.9524841,0,0,0,0,0,0,0,17,8,14,4,61.52955246,29.10572624,50.77983475,14.41857147,1,2,0,0,3.619385481,7.276431561,0,0
119,Bathurst Manor,0,60,55,58,88,355.9985657,326.1385193,341.3170166,509.9971008,0,0,1,0,0,0,5.7954216,7,9,17,16,41.53316879,53.3681221,100.0411911,92.72674561,1,1,1,0,5.933309555,5.929791451,5.884776115,0
